Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Acura ILX,805,"1,047","1,289","1,152","1,351","1,312","1,224","1,439","1,078","1,430","1,253","1,305"
Acura MDX,"2,968","3,833","3,982","3,339","4,425","4,087","4,788","5,976","3,833","4,368","4,784","5,636"
Acura NSX,31,22,26,23,30,19,10,25,16,15,11,10
Acura RDX,"4,172","4,965","5,835","4,926","5,415","4,868","4,934","5,459","4,384","5,888","5,767","6,263"
Acura RLX,119,127,135,151,91,50,42,38,46,68,80,72
Acura TLX,"1,669","2,219","3,141","2,096","2,235","1,812","1,761","2,252","1,741","2,188","2,587","2,847"
Alfa Romeo 4C,7,16,18,27,14,9,12,13,11,6,6,6
Alfa Romeo Giulia,531,646,858,746,797,768,668,748,614,767,795,767
Alfa Romeo Stelvio,612,700,898,811,761,818,738,827,679,856,888,856
Audi A3,664,823,"1,182",681,947,831,522,705,863,942,995,"1,263"
Audi A4,"1,691","1,436","2,652","1,860","2,223","2,292","2,579","2,924","2,392","2,178","2,056","2,152"
Audi A5,"1,651","1,603","2,224","1,685","2,251","2,160","2,017","2,085","1,646","1,705","1,805","2,191"
Audi A6,"1,889","1,506","1,963","1,374","1,427","1,743","1,246","1,247",770,"1,252","1,264","2,126"
Audi A7,620,474,672,441,526,409,289,331,199,294,246,454
Audi A8,284,242,261,187,190,166,114,164,109,245,465,536
Audi eTron,-,-,-,253,856,726,678,593,434,462,621,746
Audi Q3,193,120,85,17,11,6,"1,415","2,420","1,820","1,943","2,497","4,295"
Audi Q5,"4,340","4,359","6,529","4,350","5,721","6,747","6,434","6,282","4,374","5,960","6,152","6,268"
Audi Q7,"2,061","1,965","3,091","2,752","3,241","2,923","2,751","3,408","2,357","2,971","3,162","3,967"
Audi Q8,807,900,"1,469","1,280","1,319","1,185","1,123","1,214",987,"1,051","1,210","1,711"
Audi R8,42,55,52,30,27,62,37,35,67,61,54,52
Audi TT,11,77,122,114,153,159,165,123,112,108,91,89
BMW 2-Series,578,738,746,581,253,717,662,617,863,690,805,765
BMW 3-Series,"1,226","2,379","4,620","3,642","4,364","4,927","3,392","3,984","4,303","3,462","6,283","5,245"
BMW 4-Series,"2,842","2,685","1,875","1,214","1,340","1,738","1,484","1,072","1,452","1,030",998,891
BMW 5-Series,"3,679","2,976","3,690","2,857","3,242","6,259","2,521","2,534","2,606","2,837","2,775","2,733"
BMW 6-Series,161,315,149,96,150,80,65,51,31,20,13,8
