Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
202,CO,Low Emission Vehicle (LEV) Sales Tax Exemption,"Vehicles, vehicle power sources, or parts used for converting a vehicle
power source to reduce emissions are exempt from state sales and use
tax. Exempt vehicles include vehicles certified to federal LEV standards
that have a gross vehicle weight rating (GVWR) of over 26,000 pounds
(lbs.). The exemption also applies if the GVWR is greater than 10,000
lbs. and if the vehicle, power source, or parts used for converting the
power source meet the definition of a category 4, 4A, 4B, 4C, 7, or 7A
truck, as defined in [Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 39-22-516.8.
The vehicle power source includes the engine or motor and associated
wiring, fuel lines, engine coolant system, fuel storage containers, and
other components. (Reference [Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 39-26-719)
",,2014-06-06 00:00:00 UTC,false,30,State Incentives,"",2015-07-08 15:21:54 UTC,,,,"",AFTMKTCONV|NG|LPG,EXEM|TAX,"",MAN|FLEET|IND,http://www.lexisnexis.com/hottopics/michie/|http://www.leg.state.co.us/clics/cslFrontPages.nsf/HomeSplash?OpenForm
272,US,Pollution Prevention Grants Program,"The Pollution Prevention (P2) Grants Program supports state and tribal
technical assistance, education, and research programs that help
businesses and industries identify better environmental strategies and
solutions for complying with federal and state environmental
regulations. Eligible applicants include states, U.S. territories, and
qualified state agencies, colleges and universities. Local governments,
private universities, private non-profit organizations, private
businesses, and individuals are not eligible for funding. Matching funds
will be awarded and managed by the U.S. Environmental Protection
Agency\'s regional P2 program offices. Grant amounts awarded are
dependent on Congressional appropriations for this program. For more
information see the [P2
Program](hhttps://www.epa.gov/p2/grant-programs-pollution-prevention)
website. (Reference 42 [U.S. Code](https://www.govinfo.gov/) 13104)
",,,false,36,Programs,U.S. Environmental Protection Agency,,,,,"",OTHER,GNT,"",FLEET|GOV|IND,""
273,US,SmartWay Transport Partnership,"The SmartWay Transport Partnership is a market-based public-private
collaboration between the U.S. Environmental Protection Agency (EPA) and
the domestic freight industry. This partnership is designed to reduce
greenhouse gases and air pollution by accelerating the adoption of
advanced technologies and operational practices which increase fuel
efficiency and reduce emissions from goods movement. EPA provides
partners with performance benchmarking tools, fleet management best
practices, technology verification, public recognition and awards, and
use of the SmartWay Transport Partner logo to demonstrate their
leadership to customers, shareholders and other stakeholders. The
SmartWay Transport Partnership is working with partners to test and
verify advanced technologies and operational practices that save fuel
and reduce emissions. Grants are available to states, non-profits, and
academic institutions to demonstrate innovative idle reduction
technologies for the trucking industry. For more information, see the
[SmartWay Transport Partnership](http://www.epa.gov/smartway/) website.
",,,false,32,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|EFFEC|IR|NG|LPG,GNT|LOANS,"",FLEET|GOV,""
284,US,Congestion Mitigation and Air Quality (CMAQ) Improvement Program,"The CMAQ Program provides funding to state departments of transportation
(DOTs), local governments, and transit agencies for projects and
programs that help meet the requirements of the Clean Air Act by
reducing mobile source emissions and regional congestion on
transportation networks. Eligible activities include transit
improvements, travel demand management strategies, congestion relief
efforts (such as high occupancy vehicle lanes), diesel retrofit
projects, and alternative fuel vehicles and infrastructure. Projects
supported with CMAQ funds must demonstrate emissions reductions, be
located in or benefit a U.S. Environmental Protection Agency-designated
nonattainment or maintenance area, and be a transportation project. For
more information, see the [FAST Act
CMAQ](http://www.fhwa.dot.gov/fastact/factsheets/cmaqfs.cfm) fact sheet
and [CMAQ Improvement
Program](http://www.fhwa.dot.gov/environment/air_quality/cmaq/) website.
(Reference [Public
Law](https://www.congress.gov/public-laws/112th-congress) 112-141, 23
[U.S. Code](https://www.govinfo.gov/) 149, and 23 [U.S.
Code](https://www.govinfo.gov/) 151)
",2005-08-10 00:00:00 UTC,,false,54,Programs,U.S. Department of Transportation,,,,,"",BIOD|ETH|ELEC|HY|IR|NG|PHEV|LPG,GNT,"",STATION|FLEET|GOV,""
288,US,Clean Cities Coalition Network,"The mission of Clean Cities Coalition Network is to foster the economic,
environmental, and energy security of the United States by working
locally to advance affordable, domestic transportation fuels and
technologies. Nearly 100 volunteer coalitions carry out this mission by
developing public/private partnerships to promote alternative and
renewable fuels, idle-reduction measures, fuel economy, improvements,
and emerging transportation technologies. The Clean Cities Coalition
Network provides information about financial opportunities, coordinates
technical assistance projects, updates and maintains databases and
websites, and publishes technical and informational materials. For more
information, see the [Clean Cities Coalition
Network](https://cleancities.energy.gov/) website.
",,,false,21,Programs,U.S. Department of Energy,,,,,"",AFTMKTCONV|BIOD|ETH|ELEC|EFFEC|HEV|HY|IR|NG|NEVS|PHEV|LPG,GNT|OTHER,"",STATION|AFP|PURCH|MAN|FLEET|GOV|IND,""
304,US,Tier 3 Vehicle and Gasoline Sulfur Program,"The Tier 3 Vehicle and Gasoline Sulfur Program requires new passenger
vehicles, including sport utility vehicles, pick-up trucks, and vans, to
meet stringent emissions standards. New emissions standards apply to all
light-duty vehicles, regardless of whether they run on gasoline, diesel,
or alternative fuels. Additionally, this program requires gasoline
refiners and importers to reduce the sulfur content of gasoline sold in
the United States. For more information, see the U.S. Environmental
Protection Agency [Emission
Standards](https://www.epa.gov/emission-standards-reference-guide/all-epa-emission-standards)
website. (Reference 40 [CFR](https://www.govinfo.gov/) 80, 85, and 86)
",2000-02-10 00:00:00 UTC,,false,36,Laws and Regulations,U.S. Environmental Protection Agency,2015-01-02 16:38:50 UTC,,,,"",OTHER,"",AIRQEMISSIONS,MAN,http://www.gpo.gov/fdsys
317,US,State Energy Program (SEP) Funding,"The SEP provides grants to states to assist in designing, developing,
and implementing renewable energy and energy efficiency programs. Each
state's energy office receives SEP funding and manages all SEP-funded
projects. States may also receive project funding from technology
programs in the U.S. Department of Energy's Office of Energy Efficiency
and Renewable Energy (EERE) for SEP Special Projects. EERE distributes
the funding through an annual competitive solicitation to state energy
offices. For more information, see the
[SEP](http://energy.gov/eere/wipo/state-energy-program) website.
",,,false,26,Programs,U.S. Department of Energy,,,,,"",BIOD|ETH|ELEC|EFFEC|HY|NG|PHEV|LPG,GNT,"",OTHER,""
319,US,Alternative Fuel Excise Tax Credit,"A tax incentive is available for alternative fuel that is sold for use
or used as a fuel to operate a motor vehicle. A tax credit in the amount
of \$0.50 per gallon is available for the following alternative fuels:
natural gas, liquefied hydrogen, propane, P-Series fuel, liquid fuel
derived from coal through the Fischer-Tropsch process, and compressed or
liquefied gas derived from biomass. For propane and natural gas sold
after December 31, 2015, the tax credit is based on the gasoline gallon
equivalent (GGE) or diesel gallon equivalent (DGE). For taxation
purposes, one GGE is equal to 5.75 pounds (lbs.) of propane and 5.66
lbs. of compressed natural gas. One DGE is equal to 6.06 lbs. of
liquefied natural gas.

For an entity to be eligible to claim the credit they must be liable for
reporting and paying the federal excise tax on the sale or use of the
fuel in a motor vehicle. Tax exempt entities such as state and local
governments that dispense qualified fuel from an on-site fueling station
for use in vehicles qualify for the incentive. Eligible entities must be
registered with the Internal Revenue Service (IRS). The incentive must
first be taken as a credit against the entity\'s alternative fuel tax
liability; any excess over this fuel tax liability may be claimed as a
direct payment from the IRS. The tax credit is not allowed if an
incentive for the same alternative fuel is also determined under the
rules for the ethanol or biodiesel tax credits.

For more information about claiming the credit, see IRS Form 4136, which
is available on the [IRS Forms and
Publications](https://apps.irs.gov/app/picklist/list/formsPublications.html)
website. (Reference [Public
Law](https://www.congress.gov/public-laws/116th-congress) 116-260,
[Public Law](https://www.congress.gov/public-laws/116th-congress)
116-94, [Public
Law](https://www.congress.gov/public-laws/115th-congress) 115-123,
[Public Law](https://www.congress.gov/public-laws/114th-congress)
114-113, and 26 [U.S.
Code](https://www.govinfo.gov/app/collection/uscode) 6426)
",2005-08-10 00:00:00 UTC,2020-12-27 00:00:00 UTC,false,11,Incentives,U.S. Internal Revenue Service,2021-01-04 17:28:40 UTC,2021-12-31 00:00:00 UTC,,,"",HY|NG|OTHER|LPG,TAX,"",STATION|FLEET,http://www.gpo.gov/fdsys/|https://www.congress.gov/public-laws/115th-congress|https://www.congress.gov/|https://www.congress.gov/|https://www.congress.gov/
323,US,Clean School Bus,"Clean School Bus is a public-private partnership that focuses on
reducing children\'s exposure to harmful diesel exhaust by limiting
school bus idling, implementing pollution reduction technologies,
improving route logistics, and switching to clean fuels. Clean School
Bus is part of the U.S. Environmental Protection Agency\'s [Diesel
Emissions Reduction Act (DERA) Program](https://www.epa.gov/dera) and
provides funding for projects designed to retrofit and/or replace older
diesel school buses. Eligible applicants are school districts, state and
local government programs, federally recognized Indian tribes, and
non-profit organizations. The rebate application period typically opens
in the fall. For more information, see the [Reducing Diesel Emissions
from School
Buses](https://www.epa.gov/dera/reducing-diesel-emissions-school-buses)
website.
",,,false,33,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|EFFEC|IR|NG|LPG,GNT,"",FLEET|GOV,""
324,US,Clean Construction and Agriculture,"Clean Construction is a voluntary program that promotes the reduction of
diesel exhaust emissions from construction equipment and vehicles by
encouraging proper operations and maintenance, use of emissions-reducing
technologies, and use of cleaner fuels.

Clean Agriculture is a voluntary program that promotes the reduction of
diesel exhaust emissions from agricultural equipment and vehicles by
encouraging proper operations and maintenance by farmers, ranchers, and
agribusinesses, use of emissions-reducing technologies, and use of
cleaner fuels.

Clean Construction and Clean Agriculture are part of the U.S.
Environmental Protection Agency\'s [Diesel Emissions Reduction Act
(DERA) Program](http://www.epa.gov/cleandiesel/), which offers funding
for clean diesel construction and agricultural equipment projects.

For more information, see the [Reducing Diesel Emissions from
Construction and
Agriculture](https://www.epa.gov/dera/reducing-diesel-emissions-construction-and-agriculture)
website.
",,,false,34,Programs,U.S. Environmental Protection Agency,,,,,"",BIOD|ELEC|HEV|HY|NG|PHEV|LPG,GNT,"",PURCH|FLEET|OTHER,""
