Law Id,State,Title,Significant_Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
4413,IA,Alternative Fuel Vehicle Acquisition Requirements,,FALSE,100,Laws and Regulations,,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,REQ,GOV,https://www.legis.iowa.gov/index.aspx
5235,IA,Biodiesel Fuel Use,,FALSE,95,Laws and Regulations,,,,,,,BIOD,,REQ,GOV,https://www.legis.iowa.gov/index.aspx
5236,IA,Alternative Fuel Vehicle (AFV) Demonstration Grant Authorization,2019-05-10 00:00:00 UTC,FALSE,63,Laws and Regulations,,2019-07-09 17:52:56 UTC,,,,,BIOD|ETH|ELEC|HY|NG|PHEV,,OTHER,FLEET|IND,https://www.legis.iowa.gov/|https://www.legis.iowa.gov/
5237,IA,Ethanol Blend Retailer Tax Credit,2020-12-31 00:00:00 UTC,FALSE,6,State Incentives,,,2020-12-31 00:00:00 UTC,,,,ETH,TAX,,STATION,http://www.legis.iowa.gov/
5432,IA,Renewable Fuel Labeling Requirement,2014-03-21 00:00:00 UTC,FALSE,75,Laws and Regulations,,,,,,,BIOD|ETH,,REGIS,STATION,https://www.legis.iowa.gov/index.aspx
5574,IA,Alternative Fuel Vehicle (AFV) Conversion Registration,,FALSE,105,Laws and Regulations,,,,,,,AFTMKTCONV|ELEC|NG|PHEV|LPG,,REGIS,MAN|FLEET|GOV|IND,https://www.legis.iowa.gov/index.aspx
5881,IA,Low-Speed Vehicle Access to Roadways,,FALSE,115,Laws and Regulations, ,,,,,,NEVS,,DREST,FLEET|GOV|IND,https://www.legis.iowa.gov/index.aspx
6081,IA,Biofuel Infrastructure Grants,2008-05-12 00:00:00 UTC,FALSE,10,State Incentives,,2017-08-13 14:28:01 UTC,,,,,BIOD|ETH,GNT,,STATION,https://www.legis.iowa.gov/index.aspx|https://www.legis.iowa.gov/
6082,IA,Biodiesel Blend Retailer Tax Credit,2011-05-26 00:00:00 UTC,FALSE,9,State Incentives,,,2024-12-31 00:00:00 UTC,,,,BIOD,TAX,,STATION,https://www.legis.iowa.gov/index.aspx
6117,IA,E85 Fuel Exclusivity Contract Regulations,2017-06-11 20:50:39 UTC,FALSE,70,Laws and Regulations,,2017-06-11 20:50:39 UTC,,,,,ETH,,OTHER,STATION,https://www.legis.iowa.gov/index.aspx
6226,IA,Alternative Fuel Production Tax Credits,2014-05-01 00:00:00 UTC,FALSE,11,State Incentives,,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,,AFP,
6425,IA,E85 Retailer Tax Credit,2016-05-24 00:00:00 UTC,FALSE,8,State Incentives,,,2024-12-31 00:00:00 UTC,,,,ETH,TAX,,STATION,https://www.legis.iowa.gov/index.aspx
8308,IA,Ethanol Blend Dispenser Requirement,,FALSE,80,Laws and Regulations,,,,,,,ETH,,REGIS,STATION,https://www.legis.iowa.gov/index.aspx
9293,IA,Mid-Level Ethanol Blend Retailer Tax Credit,2011-05-31 00:00:00 UTC,FALSE,7,State Incentives,,,2025-01-01 00:00:00 UTC,,,,ETH,TAX,,STATION,https://www.legis.iowa.gov/index.aspx
9294,IA,Biofuel Specifications,2011-05-31 00:00:00 UTC,FALSE,85,Laws and Regulations,,,,,,,BIOD,,STD,STATION|AFP|PURCH,https://www.legis.iowa.gov/index.aspx
11480,IA,Alternative Fuel Tax,2014-03-26 00:00:00 UTC,FALSE,97,Laws and Regulations,,2019-07-09 17:56:53 UTC,,,,,ETH|ELEC|HY|NG|PHEV|LPG,,FUEL,STATION|PURCH|FLEET|IND,https://www.legis.iowa.gov/index.aspx|https://www.legis.iowa.gov/index.aspx|https://www.legis.iowa.gov/index.aspx
11806,IA,Idle Reduction and Natural Gas Vehicle (NGV) Weight Exemption,2017-05-11 00:00:00 UTC,FALSE,12,State Incentives,,2017-06-21 16:10:09 UTC,,,,,IR|NG,EXEM,,FLEET|GOV|IND,https://www.legis.iowa.gov/
11976,IA,Plug-In Electric Vehicle (PEV) Infrastructure Study,2018-05-04 00:00:00 UTC,FALSE,110,Laws and Regulations,,2019-07-09 17:59:45 UTC,,,,,ELEC|PHEV,,OTHER,STATION,https://www.legis.iowa.gov/|https://www.legis.iowa.gov/
12125,IA,Diesel Emission Reduction Project Funding,2018-12-05 18:23:43 UTC,FALSE,5,State Incentives,,2018-12-05 18:23:43 UTC,,,,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|LPG,GNT,,FLEET|GOV,
12213,IA,Plug-In Electric Vehicle (PEV) Fee,2019-05-16 00:00:00 UTC,FALSE,56,Laws and Regulations,,2019-05-24 21:59:56 UTC,,,,,ELEC|PHEV,,FUEL,IND,https://www.legis.iowa.gov/|http://www.legis.iowa.gov/
12214,IA,Autonomous Vehicle (AV) Operation Requirements,2019-05-06 00:00:00 UTC,FALSE,65,Laws and Regulations,,2019-05-24 22:06:12 UTC,,,,,AUTONOMOUS,,DREST,OTHER,http://www.legis.iowa.gov/|http://www.legis.iowa.gov/
12248,IA,Electricity Dealer License,2019-05-16 00:00:00 UTC,FALSE,58,Laws and Regulations,,2019-07-09 17:42:39 UTC,,,,,ELEC|PHEV,,REGIS,STATION,https://www.legis.iowa.gov/|http://www.legis.iowa.gov/
12249,IA,Biofuel Quality Program,2019-05-13 00:00:00 UTC,FALSE,60,Laws and Regulations,,2019-07-09 17:47:56 UTC,,,,,BIOD|ETH,,STD,AFP|OTHER,https://www.legis.iowa.gov/|https://www.legis.iowa.gov/
12337,IA,Public Utility Definition,2019-11-27 00:00:00 UTC,FALSE,55,Laws and Regulations,,2019-12-16 22:11:08 UTC,,,,,ELEC|PHEV,,UTILITY,STATION,https://www.legis.iowa.gov/docs/aco/arc/4720C.pdf
12578,IA,Plug-In Electric Vehicle (PEV) Rebate – MidAmerican Energy,2021-05-11 19:14:02 UTC,TRUE,5,Utility/Private Incentives,,2021-05-11 19:14:02 UTC,,,,,ELEC|PHEV,RBATE,,IND,
