Year,usaVMT,iaVMT,iaGAS,mnVMT,mnGAS,ndVMT,ndGAS,sdVMT,sdGAS,wiVMT,wiGAS,iaPOP,iaAREA,iaDENS,mnPOP,mnAREA,mnDENS,ndPOP,ndAREA,ndDENS,sdPOP,sdAREA,sdDENS,wiPOP,wiAREA,wiDENS,iaGHG,mnGHG,ndGHG,sdGHG,wiGHG,evSHARE
1990,2147501000000,23165000000,1419690225.0,39216794645,1975783350.0,5957000000,320141625.0,6985000000,376353600.00000006,44276000000,2124622725.0,2776755,56272.81,49.344523580748856,4387283,86935.83,50.46576308065386,637364,70698.32,9.015263729039106,696667,77115.68,9.03405118129024,4902265,65496.38,74.84787708877957,17.11648366,25.14563284,4.844608493,4.916453112,25.80872586,0.0
1991,2172214000000,23572000000,1380900675.0,39301381935,1968734025.0,5999000000,323136675.0,6690000000,380517450.0,45456000000,2136858600.0,2791227,56272.81,49.60169929313997,4427429,86935.83,50.92755196562798,634199,70698.32,8.970496045733476,701445,77115.68,9.096010046205908,4952675,65496.38,75.617537946372,16.56471238,26.31080027,4.9134733,4.687325381,25.71647979,0.0
1992,2247152000000,24411000000,1381485075.0,41685288180,1983161400.0,6105000000,334970775.0,7176000000,402067200.0,47495000000,2161220775.0,2806923,56272.81,49.88062618518606,4471503,86935.83,51.43452360206373,635427,70698.32,8.987865623963907,708698,77115.68,9.190063551277769,5004636,65496.38,76.41087950204272,16.4318445,27.72053779,5.143650465,5.2885932669999995,26.36858134,0.0
1993,2296705000000,25396000000,1386306375.0,42473511890,2043391125.0,6204000000,361159200.0,7352000000,403966500.0,48805000000,2195883000.0,2820525,56272.81,50.1223415002734,4521709,86935.83,52.01203002260403,637229,70698.32,9.013354207002372,716258,77115.68,9.288098088482135,5055318,65496.38,77.18469326091,17.06416816,29.23382422,5.402739287999999,5.384091526000001,27.18091767,0.0
1994,2357587000000,26039000000,1432108725.0,43262537865,2156034225.0,6388000000,364556025.0,7550000000,418759125.0,50273000000,2240881800.0,2829422,56272.81,50.28044627591905,4566028,86935.83,52.52181982963756,639762,70698.32,9.049182498254554,723038,77115.68,9.376017951213036,5095504,65496.38,77.79825388823016,18.05388613,30.21738161,5.357595589,5.724229922,28.72121448,0.0
1995,2422776000000,26658000000,1413846225.0,44117498900,2220720000.0,6546000000,369486900.0,7569000000,409080000.0,51395000000,2311813350.0,2840860,56272.81,50.48370607403469,4605445,86935.83,52.97522321924114,641548,70698.32,9.074444767570148,728251,77115.68,9.44361769227737,5137004,65496.38,78.4318766930325,18.72433701,31.28808139,5.362954371,5.84153434,29.29735367,0.0
1996,2482201000000,27587000000,1463045400.0,45821088180,2277041550.0,6767000000,357141450.0,7696000000,414449175.0,52639000000,2366126025.0,2848473,56272.81,50.618993435728555,4647723,86935.83,53.461535939784554,642858,70698.32,9.092974203630298,730699,77115.68,9.475362209086402,5173828,65496.38,78.99410623915398,20.0198617,32.27630027,5.49626678,5.8388866429999995,29.75241342,0.0
1997,2560373000000,28404000000,1467245775.0,48090575365,2306955525.0,6942000000,362437575.0,7797000000,414266550.0,53729000000,2409335100.0,2854396,56272.81,50.72424853139554,4687726,86935.83,53.921679933348535,640945,70698.32,9.065915569139408,730855,77115.68,9.477385143981095,5200235,65496.38,79.39728882726038,19.55061863,31.86815942,5.582767135,5.688363227999999,29.8997349,0.0
1998,2625363000000,29192000000,1490220000.0,49711668480,2291907225.0,7093000000,373541175.0,7931000000,441258525.0,56048000000,2472012000.0,2861025,56272.81,50.84204965062168,4726411,86935.83,54.36666331937016,637808,70698.32,9.021543934848804,730789,77115.68,9.476529286910264,5222124,65496.38,79.73149050374998,20.18884528,33.36861231,5.017909071,5.854560715,31.497489299999998,0.0
1999,2679459000000,29726000000,1560348000.0,50864384105,2407947150.0,7101000000,379640850.00000006,8054000000,422119425.0,56960000000,2452105875.0,2869413,56272.81,50.991109205316036,4775508,86935.83,54.931413204429056,633666,70698.32,8.9629569698403,733133,77115.68,9.506925180456168,5250446,65496.38,80.16391134899364,19.99104581,35.42909624,5.922174059,5.99786147,32.15026894,0.0
2000,2746926000000,29821000000,1496173575.0,52109352480,2452288500.0,7061000000,359150325.0,8227000000,420329700.0,57266000000,2503861800.0,2929067,56272.81,52.05119488435001,4933692,86935.83,56.7509621752044,642023,70698.32,9.081163456217912,737333,77115.68,9.561388812236371,5373999,65496.38,82.05032094903567,19.63923317,36.65005012,5.788442157,6.085023065,31.50081596,0.0002
2001,2795611000000,30461000000,1509505200.0,53233950965,2488667400.0,7084000000,346622250.0,8540000000,425406675.0,57266000000,2514417525.0,2931997,56272.81,52.10326265917767,4982796,86935.83,57.31579257942324,639062,70698.32,9.039281272878902,758803,77115.68,9.83980171088422,5406835,65496.38,82.55166163381854,19.50063866,35.77567065,6.249762925,5.989326572,31.27380119,0.0
2002,2855509000000,31361000000,1544751825.0,54401389960,2475591450.0,7095000000,340120800.0,8494000000,429826200.0,58745000000,2560439025.0,2934234,56272.81,52.14301542787716,5018935,86935.83,57.731489996702166,638168,70698.32,9.026635993613425,761633,77115.68,9.876499824678977,5445162,65496.38,83.13683901308744,20.03503558,36.21115402,6.19813778,6.495304303999999,31.23565055,0.0
2003,2890222000000,31597000000,1560457575.0,55413326180,2551892175.0,7290000000,330039900.0,8516000000,429607050.0,59617000000,2505213225.0,2941999,56272.81,52.28100391645628,5053572,86935.83,58.1299103028061,638817,70698.32,9.035815843997424,765980,77115.68,9.932869683571488,5479203,65496.38,83.65657766123869,20.16619153,36.17363384,6.277670477999999,6.072184257999999,30.76232826,0.0
2004,2964789000000,31971000000,1636539150.0,56483471916,2686267650.0,7439000000,350530425.0,8771000000,434172675.0,60398000000,2472779025.0,2953635,56272.81,52.48778228775141,5087713,86935.83,58.52262525129167,644705,70698.32,9.11909929401434,773087,77115.68,10.025029929062418,5514026,65496.38,84.18825590055512,21.17871182,37.24830997,6.502986705,6.172236785,31.95376058,0.0
2005,2989430000000,31568000000,1575688500.0,56520774505,2635351800.0,7443000000,334094175.0,8383000000,424310925.0,60018000000,2578482375.0,2964454,56272.81,52.68004210203827,5119598,86935.83,58.88939002480335,646089,70698.32,9.138675431042774,778775,77115.68,10.098789247530464,5546166,65496.38,84.6789700438406,21.8045546,37.64766231,6.419279451,6.257833407000001,31.33199912,0.0
2006,3014116000000,31733000000,1403655750.0,56603273630,2573880225.0,7664000000,341983575.0,9150000000,421900275.0,59401000000,2484722700.0,2982644,56272.81,53.00328879968852,5163555,86935.83,59.39501584099444,649422,70698.32,9.185819408438558,786973,77115.68,10.20509706975287,5577655,65496.38,85.15974470650134,22.26926803,37.00044861,6.361237151,6.2747583460000005,31.659536300000003,0.0
2007,3029822000000,31481000000,1350292725.0,57409995170,2556969150.0,7663000000,328542375.0,8988000000,434063100.0,59493000000,2421461400.0,2999212,56272.81,53.29771163018161,5207203,86935.83,59.897087311411184,652822,70698.32,9.233911074548871,795521,77115.68,10.31594352795696,5610775,65496.38,85.66542150879178,22.55793977,37.01320649,7.210858055,6.489633978,31.60946945,0.0
2008,2973509000000,30954000000,1291231800.0,57296572026,2233065450.0,7608000000,324268950.0,8470000000,409810500.0,57462000000,2429533425.0,3016734,56272.81,53.60908758599402,5247018,86935.83,60.355068790394014,657569,70698.32,9.301055527203474,803047,77115.68,10.413537169094536,5640996,65496.38,86.12683632286243,21.64093332,34.93261884,6.4252722229999994,6.093472007999999,30.38265686,0.0
2009,2956764000000,31295000000,1304307750.0,56970430780,2213889825.0,7943000000,346183950.0,8740000000,424237875.0,58157000000,2512846950.0,3032870,56272.81,53.89583352955006,5281203,86935.83,60.74828985931347,664968,70698.32,9.405711479424122,810814,77115.68,10.514255985293783,5669264,65496.38,86.55843269505887,21.11783116,32.33374478,6.022291882,6.288772778999999,29.54967515,0.0
2010,2967266000000,31579000000,1387475175.0,56762480425,2218309350.0,8303000000,370400025.0,8861000000,439432275.0,59420000000,2584801200.0,3050745,56272.81,54.21348249714205,5310828,86935.83,61.08905844690273,674715,70698.32,9.543578970476242,816166,77115.68,10.583658213219413,5690475,65496.38,86.88228265440014,21.05569421,32.16467366,6.876221103,6.5028863029999995,30.01205452,0.0
